date,description,amount,category
2025-02-02 08:00:51.687190,UBER RIDE,-225.769429891698,Transport
2025-02-03 08:00:51.687190,BONUS PAYMENT,10414.360098098776,Income
2025-02-03 08:00:51.687190,MOBILE RECHARGE,-1144.561179221102,Bills
2025-02-03 08:00:51.687190,MEDICAL STORE,-425.3007280449081,Healthcare
2025-02-04 08:00:51.687190,UBER RIDE,-162.936859822573,Transport
2025-02-06 08:00:51.687190,ELECTRICITY BILL PAYMENT,-2267.294153541187,Bills
2025-02-08 08:00:51.687190,GAS BILL,-704.1167612088625,Bills
2025-02-08 08:00:51.687190,HOSPITAL PAYMENT,-1627.4850933469133,Healthcare
2025-02-08 08:00:51.687190,ZOMATO PAYMENT,-815.6320371300291,Food
2025-02-08 08:00:51.687190,MYNTRA FASHION,-1731.7857564480373,Shopping
2025-02-11 08:00:51.687190,OLA CABS,-253.81511778258042,Transport
2025-02-11 08:00:51.687190,FLIPKART PAYMENT,-2984.9646857251328,Shopping
